100;2439;2433;2.0284652709960938
200;9999;9995;9.253978729248047
300;23395;23389;33.188819885253906
400;38910;38901;49.217939376831055
500;61479;61474;120.27215957641602
600;91404;91395;89.5087718963623
700;123695;123688;134.5524787902832
800;157424;157413;172.15633392333984
900;202211;202202;202.61836051940918
1000;253136;253132;248.3360767364502
1100;300972;300961;288.59472274780273
1200;351709;351701;330.3682804107666
1300;428876;428866;425.46677589416504
1400;479676;479668;448.49681854248047
1500;572457;572448;534.8258018493652
1600;635871;635862;602.2040843963623
1700;727559;727554;683.659553527832
1800;836709;836702;793.9040660858154
1900;906164;906154;830.5699825286865
2000;1023949;1023940;961.7311954498291
2100;1120942;1120933;1171.363115310669
2200;1164636;1164626;1075.7484436035156
2300;1344410;1344395;1276.1437892913818
2400;1401196;1401187;1313.2028579711914
2500;1561894;1561889;1456.0706615447998
2600;1691966;1691955;1569.6766376495361
2700;1811652;1811640;1681.2055110931396
2800;1938284;1938278;1772.6631164550781
2900;2125722;2125712;1950.181007385254
3000;2198852;2198841;2002.967357635498
3100;2411668;2411660;2220.104932785034
3200;2570408;2570400;2440.868854522705
3300;2752682;2752671;2495.3155517578125
3400;2850622;2850616;2607.8877449035645
3500;2993576;2993564;2709.43021774292
3600;3234407;3234398;2936.4495277404785
3700;3418274;3418268;3072.0458030700684
3800;3611731;3611722;3283.4720611572266
3900;3753905;3753900;3360.9330654144287
4000;4024178;4024173;3618.671417236328
4100;4174457;4174445;3750.434160232544
4200;4462313;4462305;4042.876720428467
4300;4611934;4611927;4136.0063552856445
4400;4847413;4847401;4348.477840423584
4500;5007632;5007629;4521.285772323608
4600;5313468;5313462;4759.7222328186035
4700;5535860;5535853;4980.950355529785
4800;5787883;5787873;5237.433433532715
4900;5994860;5994847;5364.421129226685
5000;6221304;6221294;5579.860687255859
5100;6509738;6509728;5853.4533977508545
5200;6758428;6758418;6085.489988327026
5300;7066349;7066338;6332.005262374878
5400;7235305;7235301;6485.3785037994385
5500;7675560;7675551;6935.909032821655
5600;7799720;7799710;6990.407705307007
5700;8084585;8084578;7328.342437744141
5800;8396538;8396530;7601.216793060303
5900;8658210;8658203;7812.455177307129
6000;8959840;8959831;8209.654569625854
6100;9451616;9451607;8543.105602264404
6200;9506591;9506584;8986.69981956482
6300;9961997;9961987;8882.085084915161
6400;10168679;10168670;9516.337871551514
6500;10608116;10608101;9347.935438156128
6600;10976389;10976382;9656.64529800415
6700;11194446;11194441;10330.352067947388
6800;11514447;11514431;10537.61076927185
6900;11994525;11994519;10635.641813278198
7000;12191909;12191899;10815.644025802612
7100;12766400;12766394;11365.036249160767
7200;12881113;12881094;11405.62891960144
7300;13295910;13295898;11643.670320510864
7400;13658690;13658677;11933.335304260254
7500;14149211;14149200;12582.624912261963
7600;14659316;14659302;12849.478006362915
7700;15065722;15065711;13214.50400352478
7800;15306376;15306368;13333.181858062744
7900;15680969;15680959;13845.937728881836
8000;16131099;16131091;14072.580575942993
8100;16164159;16164151;14214.682579040527
8200;16742477;16742467;14614.769697189331
8300;17243233;17243221;15133.933305740356
8400;17743730;17743722;15453.081607818604
8500;18015102;18015097;15849.700689315796
8600;18575936;18575925;16196.164846420288
8700;18724373;18724362;16373.454570770264
8800;19436371;19436357;17053.91001701355
8900;19621849;19621838;17711.300373077393
9000;20236912;20236906;19268.277168273926
9100;20821093;20821088;18342.965841293335
9200;21220968;21220962;19404.648303985596
9300;21767500;21767490;19689.29386138916
9400;22129922;22129912;20170.170068740845
9500;22730241;22730230;21654.0949344635
9600;23047821;23047809;21334.909915924072
9700;23917067;23917061;21743.68190765381
9800;23959565;23959560;21483.775854110718
9900;24577119;24577110;22322.48592376709
10000;25284631;25284624;23252.299070358276
